Name,Has_Broader,Broader_Term
Bulbophyllum bufo,yes,Bulbophyllum
Bulbophyllum fuscum,yes,Bulbophyllum
Bulbophyllum insectiferum,yes,Bulbophyllum
Bulbophyllum pavimentatum,yes,Bulbophyllum
Bulbophyllum pervillei,yes,Bulbophyllum
Bulbophyllum polyrrhizum,yes,Bulbophyllum
Bulbophyllum subclavatum,yes,Bulbophyllum
Bulbophyllum vittatum,yes,Bulbophyllum
Bumelia excelsa,yes,Bumelia
Bunium corydalinum,yes,Bunium
Burchardia multiflora,yes,Burchardia
Burretiokentia,yes,ARECACEAE
Burretiokentia vieillardii,yes,Burretiokentia
Burtonia,yes,FABACEAE
Burtonia scabra,yes,Burtonia
BUTOMACEAE,no,
Butomus,yes,BUTOMACEAE
Butomus umbellatus,yes,Butomus
Buxus hildebrandtii,yes,Buxus
Caa,yes,APOCYNACEAE
Caccinia,yes,BORAGINACEAE
Caccinia dubia,yes,Caccinia
Caesalpinia caladenia,yes,Caesalpinia
Caesalpinia gilliesii,yes,Caesalpinia
Caesalpinia mexicana,yes,Caesalpinia
Caesalpinia palmeri,yes,Caesalpinia
Caesalpinia platyloba,yes,Caesalpinia
Caesalpinia prostrata,yes,Caesalpinia
Caesalpinia pulcherrima,yes,Caesalpinia
Caesalpinia pumila,yes,Caesalpinia
Caiophora hibiscifolia,yes,Caiophora
Caiophora lateritia,yes,Caiophora
Caladenia,yes,ORCHIDACEAE
Caladenia latifolia,yes,Caladenia
Calamintha acinos,yes,Calamintha
Calamus formosanus,yes,Calamus
Calandrinia pilosiuscula,yes,Calandrinia
Calandrinia polyandra,yes,Calandrinia
Calandrinia ptychosperma,yes,Calandrinia
Calathea metallica,yes,Calathea
Calceolaria afra,yes,Calceolaria
Calceolaria arborescens,yes,Calceolaria
Calceolaria belophora,yes,Calceolaria
Calceolaria bicolor,yes,Calceolaria
Calceolaria chelidonioides,yes,Calceolaria
Calceolaria chrysocalyx,yes,Calceolaria
Calceolaria crenata,yes,Calceolaria
Calceolaria deflexa,yes,Calceolaria
Calceolaria dentata,yes,Calceolaria
Calceolaria endopogon,yes,Calceolaria
Calceolaria engleriana,yes,Calceolaria
Calceolaria ferruginosa,yes,Calceolaria
Calceolaria grandiflora,yes,Calceolaria
Calceolaria herzogiana,yes,Calceolaria
Calceolaria lamiifolia,yes,Calceolaria
Calceolaria pavonii,yes,Calceolaria
Calceolaria reichlinii,yes,Calceolaria
Calceolaria rhacodes,yes,Calceolaria
Calceolaria rosei,yes,Calceolaria
Calceolaria scabra,yes,Calceolaria
Calceolaria sericea,yes,Calceolaria
Calceolaria volckmannii,yes,Calceolaria
Calceolaria weberbaueriana,yes,Calceolaria
Calliandra tweediei,yes,Calliandra
Callistemon pancheri,yes,Callistemon
Callistemon semperflorens,yes,Callistemon
Callitriche obtusangula,yes,Callitriche
Callitriche pedunculata,yes,Callitriche
Callitriche stagnalis,yes,Callitriche
Callitriche truncata,yes,Callitriche
Callitris columellaris,yes,Callitris
Callitris intratropica,yes,Callitris
Callitris morrisonii,yes,Callitris
Callitris muelleri,yes,Callitris
Callitris preissii subsp. verrucosa,no,
Callitris propinqua,yes,Callitris
Callitris roei,yes,Callitris
Callitris verrucosa,yes,Callitris
Calochortus persistens,yes,Calochortus
Calodendrum,yes,RUTACEAE
